step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_time;step_waiting
924524086;1;2;30;63;Okt 30;0.79;60.00;0.07;29;21675.00;0
924524087;1;2;30;63;Okt 40;0.79;60.00;0.07;29;21676.00;0
924524088;1;2;30;63;Okt 26;0.77;60.00;0.07;29;21677.00;0
924524089;1;2;30;63;10.00;0.75;60.00;0.07;29;21678.00;0
924524090;1;4;31;63;Sep 27;0.69;60.00;0.06;30;21679.00;0
924524091;2;4;32;63;Aug 89;0.65;65.50;0.06;30;21680.00;0
924524092;2;7;35;63;8.00;0.66;65.50;0.06;33;21681.00;0
924524094;2;4;35;63;Aug 29;0.69;65.50;0.06;33;21682.00;0
924524095;2;4;35;63;Aug 57;0.70;65.50;0.06;33;21683.00;0
924524096;2;4;35;63;09. Jul;0.74;65.50;0.06;33;21684.00;0
924524097;2;4;35;63;Sep 28;0.74;65.50;0.06;33;21685.00;0
924524099;2;6;36;63;09. Nov;0.68;65.50;0.06;34;21686.00;0
924524100;2;5;36;63;Sep 25;0.69;65.50;0.06;34;21687.00;0
924524101;2;6;37;63;Sep 36;0.72;65.50;0.05;35;21688.00;0
924524103;2;4;37;63;Sep 48;0.72;65.50;0.05;35;21689.00;0
924524105;2;1;37;63;10. Jul;0.80;65.50;0.05;35;21690.00;0
924524106;2;1;37;63;Okt 25;0.75;65.50;0.05;35;21691.00;0
924524108;2;2;38;63;Sep 92;0.75;65.50;0.05;36;21692.00;0
924524110;2;1;38;63;Okt 45;0.77;65.50;0.05;36;21693.00;0
924524111;2;1;38;63;Okt 87;0.82;65.50;0.05;36;21694.00;0
924524113;2;1;38;63;Okt 81;0.84;65.50;0.05;36;21695.00;0
924524114;2;1;38;63;Okt 88;0.85;65.50;0.05;36;21696.00;0
924524116;2;1;38;63;11. Mrz;0.87;65.50;0.05;36;21697.00;0
924524117;2;1;38;63;Okt 90;0.86;65.50;0.05;36;21698.00;0
924524119;2;1;38;63;Okt 83;0.85;65.50;0.05;36;21699.00;0
924524120;3;1;38;63;11. Jan;0.88;75.33;0.05;35;21700.00;0
924524122;3;1;38;63;11. Aug;0.84;75.33;0.05;35;21701.00;0
924524123;3;1;38;63;Nov 48;0.89;75.33;0.05;35;21702.00;0
924524124;3;1;38;63;Nov 45;0.88;75.33;0.05;35;21703.00;0
924524126;3;1;38;63;Nov 25;0.88;75.33;0.05;35;21704.00;0
924524127;3;1;38;63;Okt 82;0.86;75.33;0.05;35;21705.00;0
924524128;3;1;38;63;Okt 78;0.86;75.33;0.05;35;21706.00;0
924524130;3;1;38;63;Okt 85;0.85;75.33;0.05;35;21707.00;0
924524131;4;2;39;63;Okt 76;0.85;68.00;0.05;35;21708.00;0
924524133;4;1;39;63;Okt 49;0.83;68.00;0.05;35;21709.00;0
924524134;4;1;39;63;Okt 54;0.84;68.00;0.05;35;21710.00;0
924524135;4;1;39;63;Okt 46;0.83;68.00;0.05;35;21711.00;0
924524137;4;2;40;63;Okt 16;0.81;68.00;0.05;36;21712.00;0
924524138;4;1;40;63;Okt 47;0.84;68.00;0.05;36;21713.00;0
924524140;4;1;40;63;Okt 49;0.85;68.00;0.05;36;21714.00;0
924524141;4;2;41;63;Okt 21;0.82;68.00;0.05;37;21715.00;0
924524143;4;1;41;63;10. Aug;0.81;68.00;0.05;37;21716.00;0
924524144;4;1;41;63;Sep 73;0.79;68.00;0.05;37;21717.00;0
924524145;4;1;41;63;Sep 95;0.82;68.00;0.05;37;21718.00;0
924524147;5;2;42;63;10. Okt;0.82;75.00;0.05;37;21719.00;0
924524148;6;0;42;63;Okt 59;0.86;79.33;0.05;36;21720.00;0
924524150;6;0;42;63;Okt 90;0.90;79.33;0.05;36;21721.00;0
924524151;6;1;43;63;Okt 78;0.87;79.33;0.05;37;21722.00;0
924524153;6;0;43;63;11. Feb;0.90;79.33;0.05;37;21723.00;0
924524155;6;1;44;63;Okt 71;0.88;79.33;0.05;38;21724.00;0
924524157;6;1;45;63;Okt 41;0.86;79.33;0.04;39;21725.00;0
924524159;6;0;45;63;Okt 41;0.87;79.33;0.04;39;21726.00;0
924524160;7;0;45;63;Okt 83;0.89;84.71;0.04;38;21727.00;0
924524162;7;0;45;63;11.00;0.90;84.71;0.04;38;21728.00;0
924524164;7;1;46;63;Okt 97;0.90;84.71;0.04;39;21729.00;0
924524166;7;1;47;63;Okt 86;0.89;84.71;0.04;40;21730.00;0
924524168;7;1;48;63;Okt 33;0.84;84.71;0.04;41;21731.00;0
924524170;7;0;48;63;Okt 50;0.85;84.71;0.04;41;21732.00;0
924524172;7;0;48;63;Okt 70;0.85;84.71;0.04;41;21733.00;0
924524174;7;0;48;63;Okt 88;0.86;84.71;0.04;41;21734.00;0
924524175;7;1;49;63;Okt 72;0.84;84.71;0.04;42;21735.00;0
924524177;7;0;49;63;Okt 70;0.85;84.71;0.04;42;21736.00;0
924524179;7;0;49;63;Okt 65;0.83;84.71;0.04;42;21737.00;0
924524181;7;1;49;63;Okt 56;0.81;84.71;0.04;42;21738.00;0
924524182;7;1;49;63;Okt 80;0.83;84.71;0.04;42;21739.00;0
924524184;7;2;50;63;Okt 74;0.83;84.71;0.04;43;21740.00;0
924524186;8;1;50;63;Nov 27;0.88;84.38;0.04;42;21741.00;0
924524188;8;1;50;63;Nov 50;0.87;84.38;0.04;42;21742.00;0
924524190;8;1;50;63;Nov 51;0.87;84.38;0.04;42;21743.00;0
924524191;8;2;51;63;Nov 19;0.84;84.38;0.04;43;21744.00;0
924524193;8;1;51;63;Nov 45;0.87;84.38;0.04;43;21745.00;0
924524195;8;2;52;63;Nov 18;0.85;84.38;0.04;44;21746.00;0
924524197;8;1;52;63;Nov 29;0.85;84.38;0.04;44;21747.00;0
924524200;8;1;52;63;Okt 92;0.83;84.38;0.04;44;21748.00;0
924524202;8;1;52;63;Okt 64;0.83;84.38;0.04;44;21749.00;0
924524204;8;1;52;63;Okt 36;0.80;84.38;0.04;44;21750.00;0
924524206;8;2;52;63;Okt 72;0.82;84.38;0.04;44;21751.00;0
924524208;9;2;52;63;11. Mrz;0.85;86.33;0.04;43;21752.00;0
924524209;9;2;52;63;Nov 22;0.86;86.33;0.04;43;21753.00;0
924524211;10;2;52;63;Nov 65;0.90;90.70;0.04;42;21754.00;0
924524212;10;1;52;63;Nov 63;0.88;90.70;0.04;42;21755.00;0
924524214;10;3;54;63;Nov 15;0.84;90.70;0.04;44;21756.00;0
924524217;10;1;54;63;Nov 24;0.85;90.70;0.04;44;21757.00;0
924524219;10;2;55;63;Nov 17;0.84;90.70;0.04;45;21758.00;0
924524221;10;1;55;63;Nov 16;0.84;90.70;0.04;45;21759.00;0
924524223;10;1;55;63;Nov 21;0.85;90.70;0.04;45;21760.00;0
924524225;10;1;55;63;11. Jan;0.84;90.70;0.04;45;21761.00;0
924524226;10;1;55;63;Okt 99;0.84;90.70;0.04;45;21762.00;0
924524228;11;3;56;63;Okt 81;0.82;89.91;0.04;45;21763.00;0
924524230;11;3;56;63;Okt 99;0.84;89.91;0.04;45;21764.00;0
924524233;11;2;56;63;Okt 89;0.83;89.91;0.04;45;21765.00;0
924524235;11;2;56;63;Okt 96;0.84;89.91;0.04;45;21766.00;0
924524238;11;2;56;63;Okt 74;0.84;89.91;0.04;45;21767.00;0
924524240;11;2;56;63;Okt 58;0.82;89.91;0.04;45;21768.00;0
924524242;11;2;56;63;Okt 56;0.82;89.91;0.04;45;21769.00;0
924524244;11;2;56;63;Okt 86;0.82;89.91;0.04;45;21770.00;0
924524246;11;3;57;63;Okt 82;0.82;89.91;0.04;46;21771.00;0
924524248;11;3;57;63;Okt 74;0.83;89.91;0.04;46;21772.00;0
924524250;11;4;58;63;Okt 72;0.82;89.91;0.03;47;21773.00;0
924524252;11;3;58;63;Okt 63;0.81;89.91;0.03;47;21774.00;0
924524254;11;4;59;63;Okt 48;0.79;89.91;0.03;48;21775.00;0
924524256;11;3;59;63;Okt 48;0.81;89.91;0.03;48;21776.00;0
924524258;11;4;59;63;Okt 63;0.81;89.91;0.03;48;21777.00;0
924524260;11;4;59;63;Okt 67;0.81;89.91;0.03;48;21778.00;0
924524262;11;4;59;63;Okt 61;0.81;89.91;0.03;48;21779.00;0
924524264;11;2;60;63;Okt 33;0.79;89.91;0.03;49;21780.00;0
924524266;11;1;60;63;Okt 49;0.80;89.91;0.03;49;21781.00;0
924524268;11;1;60;63;Okt 83;0.83;89.91;0.03;49;21782.00;0
924524270;11;1;60;63;Okt 98;0.82;89.91;0.03;49;21783.00;0
924524272;11;1;60;63;Okt 77;0.80;89.91;0.03;49;21784.00;0
924524274;11;2;60;63;Okt 96;0.82;89.91;0.03;49;21785.00;0
924524276;11;2;60;63;Okt 98;0.82;89.91;0.03;49;21786.00;0
924524278;12;3;61;63;Nov 18;0.84;90.33;0.03;49;21787.00;0
924524281;12;2;61;63;Nov 29;0.84;90.33;0.03;49;21788.00;0
924524283;12;3;61;63;Nov 21;0.83;90.33;0.03;49;21789.00;0
924524285;12;3;61;63;Nov 36;0.80;90.33;0.03;49;21790.00;0
924524288;12;3;61;63;Nov 46;0.80;90.33;0.03;49;21791.00;0
924524290;12;3;61;63;Nov 59;0.81;90.33;0.03;49;21792.00;0
924524292;12;3;61;63;Nov 43;0.83;90.33;0.03;49;21793.00;0
924524295;12;3;61;63;Nov 40;0.83;90.33;0.03;49;21794.00;0
924524297;12;3;61;63;11. Sep;0.80;90.33;0.03;49;21795.00;0
924524299;12;3;61;63;11. Okt;0.82;90.33;0.03;49;21796.00;0
924524300;14;3;61;63;Nov 34;0.83;99.93;0.03;47;21797.00;0
924524303;14;4;61;63;11. Okt;0.81;99.93;0.03;47;21798.00;0
924524305;14;4;61;63;Okt 84;0.82;99.93;0.03;47;21799.00;0
924524307;14;3;61;63;Okt 80;0.82;99.93;0.03;47;21800.00;0
924524309;14;3;61;63;11. Jan;0.85;99.93;0.03;47;21801.00;0
924524311;14;3;61;63;11. Mrz;0.85;99.93;0.03;47;21802.00;0
924524313;14;3;61;63;Okt 79;0.83;99.93;0.03;47;21803.00;0
924524315;14;4;62;63;Okt 27;0.79;99.93;0.03;48;21804.00;0
924524318;14;3;62;63;Okt 37;0.81;99.93;0.03;48;21805.00;0
924524320;14;3;62;63;Okt 52;0.82;99.93;0.03;48;21806.00;0
924524322;14;3;62;63;Okt 64;0.84;99.93;0.03;48;21807.00;0
924524325;14;3;62;63;Okt 45;0.82;99.93;0.03;48;21808.00;0
924524327;14;3;62;63;Okt 36;0.83;99.93;0.03;48;21809.00;0
924524328;14;3;62;63;Okt 20;0.82;99.93;0.03;48;21810.00;0
924524330;16;5;63;121;Okt 29;0.80;110.44;0.03;47;21811.00;0
924524336;16;4;63;121;Okt 26;0.80;110.44;0.03;47;21812.00;0
924524338;16;4;63;121;Okt 27;0.81;110.44;0.03;47;21813.00;0
924524341;16;4;63;121;Okt 38;0.82;110.44;0.03;47;21814.00;0
924524342;16;4;64;121;Okt 38;0.83;110.44;0.03;48;21815.00;0
924524344;16;3;64;121;Okt 23;0.80;110.44;0.03;48;21816.00;0
924524346;16;3;64;121;10. Mrz;0.79;110.44;0.03;48;21817.00;0
924524348;16;5;65;121;Sep 66;0.76;110.44;0.03;49;21818.00;0
924524350;17;5;66;121;Sep 39;0.74;112.12;0.03;49;21819.00;0
924524352;18;5;66;121;Sep 36;0.74;116.11;0.03;48;21820.00;0
924524354;18;5;66;121;Sep 14;0.73;116.11;0.03;48;21821.00;0
924524356;18;6;66;121;Aug 98;0.74;116.11;0.03;48;21822.00;0
924524358;18;6;67;121;Aug 58;0.72;116.11;0.03;49;21823.00;0
924524360;18;6;67;121;Aug 46;0.72;116.11;0.03;49;21824.00;0
924524361;18;4;67;121;Aug 31;0.72;116.11;0.03;49;21825.00;0
924524363;18;5;68;121;Aug 49;0.70;116.11;0.03;50;21826.00;0
924524364;18;4;68;121;Aug 87;0.72;116.11;0.03;50;21827.00;0
924524366;18;4;68;121;Aug 96;0.73;116.11;0.03;50;21828.00;0
924524368;18;4;68;121;09. Jun;0.75;116.11;0.03;50;21829.00;0
924524370;19;5;69;121;Sep 20;0.76;120.84;0.03;50;21830.00;0
924524372;19;3;69;121;Sep 36;0.78;120.84;0.03;50;21831.00;0
924524373;19;3;69;121;Sep 60;0.80;120.84;0.03;50;21832.00;0
924524375;19;5;70;121;Sep 46;0.79;120.84;0.03;51;21833.00;0
924524377;19;5;71;121;Sep 36;0.77;120.84;0.03;52;21834.00;0
924524379;19;4;71;121;Sep 44;0.75;120.84;0.03;52;21835.00;0
924524381;19;6;72;121;Sep 55;0.75;120.84;0.03;53;21836.00;0
924524383;19;5;72;121;Sep 79;0.76;120.84;0.03;53;21837.00;0
924524385;19;6;72;121;10. Feb;0.78;120.84;0.03;53;21838.00;0
924524386;19;6;72;121;Okt 16;0.79;120.84;0.03;53;21839.00;0
924524388;19;6;72;121;Okt 41;0.79;120.84;0.03;53;21840.00;0
924524390;19;6;72;121;Okt 36;0.78;120.84;0.03;53;21841.00;0
924524392;19;6;72;121;Okt 33;0.77;120.84;0.03;53;21842.00;0
924524394;19;6;72;121;Okt 27;0.76;120.84;0.03;53;21843.00;0
924524395;20;6;72;121;Okt 43;0.76;118.85;0.03;52;21844.00;0
924524397;20;7;72;121;Okt 63;0.77;118.85;0.03;52;21845.00;0
924524398;20;8;73;121;Okt 23;0.74;118.85;0.03;53;21846.00;0
924524400;20;7;73;121;Okt 28;0.76;118.85;0.03;53;21847.00;0
924524402;20;7;73;121;10. Mrz;0.71;118.85;0.03;53;21848.00;0
924524404;20;8;74;121;10. Apr;0.73;118.85;0.03;54;21849.00;0
924524405;20;8;74;121;10. Okt;0.73;118.85;0.03;54;21850.00;0
924524407;20;8;74;121;10. Aug;0.75;118.85;0.03;54;21851.00;0
924524409;20;10;75;121;Sep 81;0.72;118.85;0.03;55;21852.00;0
924524410;20;9;75;121;Sep 96;0.73;118.85;0.03;55;21853.00;0
924524412;20;9;75;121;Sep 95;0.73;118.85;0.03;55;21854.00;0
924524414;20;9;76;121;Sep 92;0.71;118.85;0.03;56;21855.00;0
924524415;20;9;77;121;Sep 89;0.72;118.85;0.03;57;21856.00;0
924524417;20;8;77;121;10. Jul;0.74;118.85;0.03;57;21857.00;0
924524419;21;8;77;121;Okt 28;0.76;125.14;0.03;56;21858.00;0
924524422;21;8;77;121;Okt 14;0.74;125.14;0.03;56;21859.00;0
924524424;21;8;77;121;10. Sep;0.75;125.14;0.03;56;21860.00;0
924524426;22;8;77;121;Sep 89;0.73;121.05;0.03;55;21861.00;0
924524428;22;8;77;121;Sep 60;0.73;121.05;0.03;55;21862.00;0
924524429;22;10;79;121;09. Jun;0.69;121.05;0.03;57;21863.00;0
924524431;22;9;79;121;Aug 85;0.67;121.05;0.03;57;21864.00;0
924524433;23;9;79;121;Aug 76;0.66;126.39;0.03;56;21865.00;0
924524435;23;10;79;121;Aug 61;0.66;126.39;0.03;56;21866.00;0
924524436;23;10;79;121;Aug 38;0.64;126.39;0.03;56;21867.00;0
924524438;23;10;79;121;Aug 67;0.66;126.39;0.03;56;21868.00;0
924524440;23;11;79;121;Aug 82;0.69;126.39;0.03;56;21869.00;0
924524441;23;6;79;121;Sep 24;0.72;126.39;0.03;56;21870.00;0
924524443;23;4;79;121;Sep 47;0.73;126.39;0.03;56;21871.00;0
924524445;24;3;79;121;Sep 99;0.78;127.67;0.03;55;21872.00;0
924524447;24;4;80;121;10. Jun;0.76;127.67;0.03;56;21873.00;0
924524449;24;2;80;121;Sep 97;0.76;127.67;0.03;56;21874.00;0
924524451;24;1;80;121;Okt 13;0.77;127.67;0.03;56;21875.00;0
924524453;24;1;80;121;Okt 35;0.79;127.67;0.03;56;21876.00;0
924524455;24;0;80;121;Okt 53;0.81;127.67;0.03;56;21877.00;0
924524456;24;1;81;121;Okt 23;0.79;127.67;0.02;57;21878.00;0
924524458;24;2;81;121;10. Jun;0.76;127.67;0.02;57;21879.00;0
924524460;24;4;82;121;Sep 81;0.73;127.67;0.02;58;21880.00;0
924524462;25;4;82;121;Sep 78;0.76;132.16;0.02;57;21881.00;0
924524465;25;6;83;121;Sep 74;0.76;132.16;0.02;58;21882.00;0
924524469;27;4;83;121;10. Nov;0.80;133.74;0.02;56;21883.00;0
924524471;27;3;83;121;10. Dez;0.81;133.74;0.02;56;21884.00;0
924524473;27;3;84;121;Sep 93;0.79;133.74;0.02;57;21885.00;0
924524474;27;2;84;121;Sep 92;0.80;133.74;0.02;57;21886.00;0
924524476;27;2;84;121;Sep 88;0.79;133.74;0.02;57;21887.00;0
924524478;27;3;84;121;10.00;0.81;133.74;0.02;57;21888.00;0
924524480;28;3;84;121;Okt 19;0.84;135.43;0.02;56;21889.00;0
924524482;28;2;84;121;10. Dez;0.83;135.43;0.02;56;21890.00;0
924524483;28;2;84;121;Okt 18;0.83;135.43;0.02;56;21891.00;0
924524485;28;4;85;121;Sep 84;0.80;135.43;0.02;57;21892.00;0
924524487;28;3;85;121;Sep 64;0.80;135.43;0.02;57;21893.00;0
924524489;28;4;86;121;Sep 44;0.79;135.43;0.02;58;21894.00;0
924524491;28;3;86;121;Sep 19;0.78;135.43;0.02;58;21895.00;0
924524492;30;4;86;121;Sep 42;0.79;138.33;0.02;56;21896.00;0
924524494;30;4;86;121;Sep 29;0.80;138.33;0.02;56;21897.00;0
924524496;30;4;86;121;Sep 26;0.79;138.33;0.02;56;21898.00;0
924524498;30;4;86;121;Aug 90;0.78;138.33;0.02;56;21899.00;0
924524499;31;4;86;121;Aug 59;0.75;136.52;0.02;55;21900.00;0
924524501;31;4;86;121;Aug 39;0.77;136.52;0.02;55;21901.00;0
924524502;32;5;87;121;Aug 42;0.75;140.56;0.02;55;21902.00;0
924524504;33;4;87;121;Aug 64;0.75;141.73;0.02;54;21903.00;0
924524506;34;6;89;121;Aug 34;0.73;144.65;0.02;55;21904.00;0
924524508;34;4;89;121;Aug 53;0.77;144.65;0.02;55;21905.00;0
924524510;34;4;89;121;Aug 60;0.79;144.65;0.02;55;21906.00;0
924524511;35;5;90;121;Aug 63;0.80;145.89;0.02;55;21907.00;0
924524513;35;4;90;121;Aug 98;0.82;145.89;0.02;55;21908.00;0
924524515;35;4;90;121;Aug 94;0.84;145.89;0.02;55;21909.00;0
924524517;35;3;90;121;Aug 63;0.80;145.89;0.02;55;21910.00;0
924524519;35;3;90;121;Aug 76;0.80;145.89;0.02;55;21911.00;0
924524520;35;3;90;121;Aug 72;0.81;145.89;0.02;55;21912.00;0
924524522;35;4;90;121;Aug 86;0.83;145.89;0.02;55;21913.00;0
924524524;35;5;91;121;Aug 48;0.79;145.89;0.02;56;21914.00;0
924524526;35;6;92;121;Aug 23;0.76;145.89;0.02;57;21915.00;0
924524528;35;5;92;121;Aug 40;0.77;145.89;0.02;57;21916.00;0
924524530;35;5;92;121;Aug 44;0.79;145.89;0.02;57;21917.00;0
924524532;35;5;92;121;Aug 61;0.80;145.89;0.02;57;21918.00;0
924524533;35;5;92;121;Aug 56;0.80;145.89;0.02;57;21919.00;0
924524535;35;5;92;121;Aug 37;0.78;145.89;0.02;57;21920.00;0
924524537;35;2;92;121;Aug 35;0.77;145.89;0.02;57;21921.00;0
924524538;35;3;92;121;Aug 32;0.76;145.89;0.02;57;21922.00;0
924524540;35;2;92;121;Aug 42;0.78;145.89;0.02;57;21923.00;0
924524542;35;2;92;121;Aug 55;0.76;145.89;0.02;57;21924.00;0
924524544;35;3;92;121;Aug 58;0.76;145.89;0.02;57;21925.00;0
924524546;35;3;92;121;Aug 71;0.77;145.89;0.02;57;21926.00;0
924524547;36;4;92;121;Sep 15;0.78;146.17;0.02;56;21927.00;0
924524549;36;3;92;121;Sep 34;0.81;146.17;0.02;56;21928.00;0
924524551;36;3;92;121;Sep 52;0.83;146.17;0.02;56;21929.00;0
924524553;36;4;93;121;Sep 13;0.80;146.17;0.02;57;21930.00;0
924524555;36;4;94;121;Aug 92;0.77;146.17;0.02;58;21931.00;0
924524558;36;3;94;121;Sep 14;0.78;146.17;0.02;58;21932.00;0
924524561;36;4;95;121;09. Sep;0.78;146.17;0.02;59;21933.00;0
924524564;36;4;96;121;09. Okt;0.78;146.17;0.02;60;21934.00;0
924524566;36;4;97;121;Sep 14;0.77;146.17;0.02;61;21935.00;0
924524568;36;4;97;121;Sep 48;0.81;146.17;0.02;61;21936.00;0
924524571;36;4;97;121;Sep 61;0.82;146.17;0.02;61;21937.00;0
924524573;36;4;97;121;Sep 79;0.83;146.17;0.02;61;21938.00;0
924524575;36;4;97;121;Sep 94;0.84;146.17;0.02;61;21939.00;0
924524577;36;5;98;121;Sep 87;0.82;146.17;0.02;62;21940.00;0
924524579;37;6;100;121;Sep 77;0.81;146.57;0.02;63;21941.00;0
924524581;37;4;100;121;Sep 89;0.81;146.57;0.02;63;21942.00;0
924524583;37;5;100;121;Sep 99;0.81;146.57;0.02;63;21943.00;0
924524585;37;5;100;121;Sep 88;0.81;146.57;0.02;63;21944.00;0
924524587;37;4;101;121;Sep 75;0.79;146.57;0.02;64;21945.00;0
924524589;37;2;101;121;Sep 74;0.81;146.57;0.02;64;21946.00;0
924524591;37;3;102;121;Sep 74;0.78;146.57;0.02;65;21947.00;0
924524593;37;2;102;121;Sep 97;0.78;146.57;0.02;65;21948.00;0
924524595;37;3;102;121;Okt 26;0.82;146.57;0.02;65;21949.00;0
924524597;37;2;102;121;Okt 70;0.86;146.57;0.02;65;21950.00;0
924524599;37;2;102;121;Okt 74;0.84;146.57;0.02;65;21951.00;0
924524601;38;2;102;121;Okt 82;0.85;146.42;0.02;64;21952.00;0
